dataset,seed,model_name,temperature_mode,eval_horizon,H_norm,N_eff,max_attention,mean_tau,std_tau,min_tau,max_tau
ETTh1,43,TCD2Vformer_temporal_context,temporal_context,96,0.89293,66.3407,0.05501,0.2472,0.031,0.1852,0.3884
ETTh1,43,TCD2Vformer_temporal_context,temporal_context,192,0.89605,66.9082,0.0531,0.2485,0.0305,0.1852,0.3884
ETTh1,43,TCD2Vformer_temporal_context,temporal_context,336,0.89694,67.0683,0.05259,0.2505,0.0297,0.1865,0.3884
ETTh1,43,TCD2Vformer_temporal_context,temporal_context,720,0.89667,67.0153,0.05265,0.2522,0.0309,0.1865,0.3884
ETTh1,44,TCD2Vformer_temporal_context,temporal_context,24,0.83449,55.9492,0.08225,0.1998,0.0295,0.1439,0.3245
ETTh1,44,TCD2Vformer_temporal_context,temporal_context,48,0.83631,56.2132,0.08162,0.2,0.0295,0.1439,0.3245
ETTh1,44,TCD2Vformer_temporal_context,temporal_context,96,0.83724,56.2524,0.08124,0.2007,0.0291,0.1466,0.3245
ETTh1,44,TCD2Vformer_temporal_context,temporal_context,192,0.84264,57.0222,0.07828,0.2019,0.0287,0.1466,0.3245
ETTh1,44,TCD2Vformer_temporal_context,temporal_context,336,0.84389,57.2512,0.07774,0.2039,0.0278,0.1512,0.3245
ETTh1,44,TCD2Vformer_temporal_context,temporal_context,720,0.84358,57.245,0.07773,0.2055,0.0286,0.1512,0.3245
ETTh1,42,TCD2Vformer_query_conditioned,query_conditioned,24,0.87833,62.8466,0.0607,0.2128,0.0453,0.1257,0.5666
ETTh1,42,TCD2Vformer_query_conditioned,query_conditioned,48,0.88077,63.2983,0.05958,0.2125,0.0448,0.1257,0.6067
ETTh1,42,TCD2Vformer_query_conditioned,query_conditioned,96,0.88066,63.105,0.05959,0.2123,0.0443,0.1231,0.6067
ETTh1,42,TCD2Vformer_query_conditioned,query_conditioned,192,0.88372,63.5691,0.05781,0.2128,0.0445,0.1247,0.6694
ETTh1,42,TCD2Vformer_query_conditioned,query_conditioned,336,0.88373,63.5299,0.05785,0.2133,0.0438,0.1253,0.6694
ETTh1,42,TCD2Vformer_query_conditioned,query_conditioned,720,0.88433,63.6502,0.05758,0.2147,0.0439,0.1269,0.6694
ETTh1,43,TCD2Vformer_query_conditioned,query_conditioned,24,0.9288,75.0937,0.04134,0.3598,0.026,0.2755,0.5171
