dataset,seed,model_name,temperature_mode,eval_horizon,H_norm,N_eff,max_attention,mean_tau,std_tau,min_tau,max_tau
ETTm1,44,TCD2Vformer_query_conditioned,query_conditioned,720,0.88167,62.4412,0.04014,0.1305,0.0275,0.101,0.5656
exchange,42,TCD2Vformer_fixed,fixed,24,0.95668,83.5121,0.03649,1.0,0.0,1.0,1.0
exchange,42,TCD2Vformer_fixed,fixed,48,0.95687,83.5366,0.03638,1.0,0.0,1.0,1.0
exchange,42,TCD2Vformer_fixed,fixed,96,0.95858,83.901,0.03534,1.0,0.0,1.0,1.0
exchange,42,TCD2Vformer_fixed,fixed,192,0.95825,83.6833,0.03526,1.0,0.0,1.0,1.0
exchange,42,TCD2Vformer_fixed,fixed,336,0.96132,84.4238,0.03375,1.0,0.0,1.0,1.0
exchange,42,TCD2Vformer_fixed,fixed,720,0.96124,84.4066,0.03389,1.0,0.0,1.0,1.0
exchange,43,TCD2Vformer_fixed,fixed,24,0.96809,86.1512,0.02989,1.0,0.0,1.0,1.0
exchange,43,TCD2Vformer_fixed,fixed,48,0.96851,86.2339,0.0297,1.0,0.0,1.0,1.0
exchange,43,TCD2Vformer_fixed,fixed,96,0.97015,86.6015,0.02875,1.0,0.0,1.0,1.0
exchange,43,TCD2Vformer_fixed,fixed,192,0.97021,86.4927,0.02859,1.0,0.0,1.0,1.0
exchange,43,TCD2Vformer_fixed,fixed,336,0.97253,87.1192,0.02754,1.0,0.0,1.0,1.0
exchange,43,TCD2Vformer_fixed,fixed,720,0.97262,87.1463,0.02761,1.0,0.0,1.0,1.0
exchange,44,TCD2Vformer_fixed,fixed,24,0.97193,86.8878,0.02776,1.0,0.0,1.0,1.0
exchange,44,TCD2Vformer_fixed,fixed,48,0.97201,86.9012,0.02776,1.0,0.0,1.0,1.0
exchange,44,TCD2Vformer_fixed,fixed,96,0.97244,86.9721,0.02756,1.0,0.0,1.0,1.0
exchange,44,TCD2Vformer_fixed,fixed,192,0.97295,87.0512,0.02718,1.0,0.0,1.0,1.0
exchange,44,TCD2Vformer_fixed,fixed,336,0.97528,87.7197,0.02616,1.0,0.0,1.0,1.0
exchange,44,TCD2Vformer_fixed,fixed,720,0.97491,87.659,0.02626,1.0,0.0,1.0,1.0
exchange,42,TCD2Vformer_learned_global,learned_global,24,0.95583,83.3098,0.03697,0.9859,0.0,0.9859,0.9859
exchange,42,TCD2Vformer_learned_global,learned_global,48,0.95603,83.3337,0.03687,0.9859,0.0,0.9859,0.9859
exchange,42,TCD2Vformer_learned_global,learned_global,96,0.95776,83.7014,0.03581,0.9859,0.0,0.9859,0.9859
exchange,42,TCD2Vformer_learned_global,learned_global,192,0.95741,83.4788,0.03573,0.9859,0.0,0.9859,0.9859
exchange,42,TCD2Vformer_learned_global,learned_global,336,0.96054,84.228,0.03419,0.9859,0.0,0.9859,0.9859
exchange,42,TCD2Vformer_learned_global,learned_global,720,0.96045,84.2102,0.03434,0.9859,0.0,0.9859,0.9859
exchange,43,TCD2Vformer_learned_global,learned_global,24,0.96711,85.8913,0.03043,0.9794,0.0,0.9794,0.9794
exchange,43,TCD2Vformer_learned_global,learned_global,48,0.96754,85.9741,0.03024,0.9794,0.0,0.9794,0.9794
exchange,43,TCD2Vformer_learned_global,learned_global,96,0.96921,86.3467,0.02926,0.9794,0.0,0.9794,0.9794
exchange,43,TCD2Vformer_learned_global,learned_global,192,0.96927,86.2322,0.02909,0.9794,0.0,0.9794,0.9794
exchange,43,TCD2Vformer_learned_global,learned_global,336,0.97165,86.8717,0.02803,0.9794,0.0,0.9794,0.9794
exchange,43,TCD2Vformer_learned_global,learned_global,720,0.97174,86.8988,0.02809,0.9794,0.0,0.9794,0.9794
exchange,44,TCD2Vformer_learned_global,learned_global,24,0.96995,86.3366,0.02884,0.9541,0.0,0.9541,0.9541
exchange,44,TCD2Vformer_learned_global,learned_global,48,0.97003,86.3485,0.02884,0.9541,0.0,0.9541,0.9541
exchange,44,TCD2Vformer_learned_global,learned_global,96,0.97049,86.4195,0.02863,0.9541,0.0,0.9541,0.9541
exchange,44,TCD2Vformer_learned_global,learned_global,192,0.97102,86.5008,0.02821,0.9541,0.0,0.9541,0.9541
exchange,44,TCD2Vformer_learned_global,learned_global,336,0.9735,87.1994,0.02713,0.9541,0.0,0.9541,0.9541
exchange,44,TCD2Vformer_learned_global,learned_global,720,0.97312,87.1401,0.02724,0.9541,0.0,0.9541,0.9541
exchange,42,TCD2Vformer_temporal_context,temporal_context,24,0.95386,82.8547,0.03812,0.9599,0.0003,0.9587,0.9611
exchange,42,TCD2Vformer_temporal_context,temporal_context,48,0.95405,82.8767,0.03801,0.9599,0.0003,0.9587,0.9611
exchange,42,TCD2Vformer_temporal_context,temporal_context,96,0.95582,83.2474,0.03692,0.9599,0.0003,0.9587,0.9611
exchange,42,TCD2Vformer_temporal_context,temporal_context,192,0.95546,83.0154,0.03683,0.9599,0.0003,0.9587,0.9611
exchange,42,TCD2Vformer_temporal_context,temporal_context,336,0.95869,83.7758,0.03525,0.9599,0.0003,0.9589,0.9611
exchange,42,TCD2Vformer_temporal_context,temporal_context,720,0.95864,83.7661,0.03538,0.96,0.0003,0.9589,0.9611
exchange,43,TCD2Vformer_temporal_context,temporal_context,24,0.96646,85.7371,0.03082,0.969,0.0007,0.9657,0.9715
exchange,43,TCD2Vformer_temporal_context,temporal_context,48,0.96689,85.8205,0.03062,0.969,0.0007,0.9657,0.9715
exchange,43,TCD2Vformer_temporal_context,temporal_context,96,0.96859,86.1972,0.02961,0.969,0.0007,0.9657,0.9715
exchange,43,TCD2Vformer_temporal_context,temporal_context,192,0.96863,86.0763,0.02946,0.969,0.0007,0.9662,0.9715
exchange,43,TCD2Vformer_temporal_context,temporal_context,336,0.97105,86.7206,0.02837,0.969,0.0007,0.9662,0.9715
exchange,43,TCD2Vformer_temporal_context,temporal_context,720,0.97115,86.7467,0.02844,0.969,0.0007,0.9662,0.971
exchange,44,TCD2Vformer_temporal_context,temporal_context,24,0.97842,88.4633,0.02401,0.9576,0.0004,0.9561,0.9588
exchange,44,TCD2Vformer_temporal_context,temporal_context,48,0.9785,88.4872,0.02403,0.9576,0.0004,0.9561,0.9588
exchange,44,TCD2Vformer_temporal_context,temporal_context,96,0.979,88.6036,0.02381,0.9576,0.0004,0.9561,0.9588
exchange,44,TCD2Vformer_temporal_context,temporal_context,192,0.97936,88.6647,0.02358,0.9576,0.0004,0.9561,0.9588
exchange,44,TCD2Vformer_temporal_context,temporal_context,336,0.98106,89.1999,0.02285,0.9576,0.0004,0.9561,0.9588
exchange,44,TCD2Vformer_temporal_context,temporal_context,720,0.98075,89.1283,0.02293,0.9576,0.0004,0.9563,0.9586
exchange,42,TCD2Vformer_query_conditioned,query_conditioned,24,0.95395,82.8749,0.03807,0.9613,0.0007,0.9576,0.9644
exchange,42,TCD2Vformer_query_conditioned,query_conditioned,48,0.95414,82.8967,0.03796,0.9613,0.0006,0.9576,0.9644
exchange,42,TCD2Vformer_query_conditioned,query_conditioned,96,0.95591,83.2672,0.03687,0.9613,0.0006,0.9576,0.9656
exchange,42,TCD2Vformer_query_conditioned,query_conditioned,192,0.95555,83.0361,0.03679,0.9613,0.0006,0.9573,0.9656
exchange,42,TCD2Vformer_query_conditioned,query_conditioned,336,0.95877,83.7958,0.0352,0.9613,0.0006,0.9573,0.9656
exchange,42,TCD2Vformer_query_conditioned,query_conditioned,720,0.95871,83.7855,0.03533,0.9613,0.0006,0.9573,0.9653
exchange,43,TCD2Vformer_query_conditioned,query_conditioned,24,0.96646,85.7379,0.03082,0.9692,0.001,0.963,0.9741
exchange,43,TCD2Vformer_query_conditioned,query_conditioned,48,0.96689,85.8212,0.03062,0.9692,0.001,0.963,0.9741
exchange,43,TCD2Vformer_query_conditioned,query_conditioned,96,0.96859,86.1986,0.02962,0.9692,0.001,0.963,0.9747
exchange,43,TCD2Vformer_query_conditioned,query_conditioned,192,0.96863,86.0786,0.02946,0.9693,0.001,0.9629,0.9758
exchange,43,TCD2Vformer_query_conditioned,query_conditioned,336,0.97106,86.7242,0.02836,0.9693,0.001,0.9626,0.9758
exchange,43,TCD2Vformer_query_conditioned,query_conditioned,720,0.97116,86.7508,0.02843,0.9694,0.001,0.9624,0.976
exchange,44,TCD2Vformer_query_conditioned,query_conditioned,24,0.97843,88.4664,0.02401,0.9579,0.0006,0.9549,0.9607
exchange,44,TCD2Vformer_query_conditioned,query_conditioned,48,0.97851,88.49,0.02402,0.9579,0.0006,0.9548,0.9608
exchange,44,TCD2Vformer_query_conditioned,query_conditioned,96,0.97901,88.606,0.02381,0.9579,0.0006,0.9545,0.9609
exchange,44,TCD2Vformer_query_conditioned,query_conditioned,192,0.97936,88.6671,0.02358,0.9579,0.0006,0.9543,0.9623
exchange,44,TCD2Vformer_query_conditioned,query_conditioned,336,0.98107,89.2026,0.02284,0.9579,0.0006,0.9543,0.9623
exchange,44,TCD2Vformer_query_conditioned,query_conditioned,720,0.98076,89.1313,0.02293,0.958,0.0006,0.9543,0.9623
