dataset,seed,lookback,training_horizon,selected_tau,test_horizon,mse,mae,baseline_tau1_mse,baseline_tau1_mae,rel_improvement_pct,param_count
ETTh1,42,96,48,4.0,24,0.83038,0.62747,0.82704,0.62761,-0.4,44021
ETTh1,42,96,48,4.0,48,0.84873,0.63991,0.84399,0.63965,-0.56,44021
ETTh1,42,96,48,4.0,96,0.87283,0.6576,0.8662,0.65725,-0.77,44021
ETTh1,42,96,48,4.0,192,0.91069,0.67768,0.90938,0.67879,-0.14,44021
ETTh1,42,96,48,4.0,336,0.93421,0.69084,0.93643,0.6935,0.24,44021
ETTh1,42,96,48,4.0,720,1.06734,0.75622,1.07413,0.76008,0.63,44021
ETTh1,43,96,48,2.0,24,0.82413,0.63378,0.82129,0.62638,-0.35,44021
ETTh1,43,96,48,2.0,48,0.84387,0.64595,0.84072,0.63891,-0.37,44021
ETTh1,43,96,48,2.0,96,0.86867,0.6626,0.86565,0.6553,-0.35,44021
ETTh1,43,96,48,2.0,192,0.90842,0.68401,0.90869,0.67708,0.03,44021
ETTh1,43,96,48,2.0,336,0.92968,0.69649,0.93321,0.69048,0.38,44021
ETTh1,43,96,48,2.0,720,1.06333,0.76199,1.07194,0.75755,0.8,44021
ETTh1,44,96,48,4.0,24,0.81368,0.61747,0.82894,0.62079,1.84,44021
ETTh1,44,96,48,4.0,48,0.83869,0.63147,0.85293,0.6344,1.67,44021
ETTh1,44,96,48,4.0,96,0.87234,0.65222,0.8875,0.65552,1.71,44021
ETTh1,44,96,48,4.0,192,0.91185,0.67319,0.93385,0.67804,2.36,44021
ETTh1,44,96,48,4.0,336,0.93996,0.68795,0.95959,0.69269,2.05,44021
ETTh1,44,96,48,4.0,720,1.07621,0.7544,1.10388,0.76173,2.51,44021
