dataset,eval_horizon,mode,n_seeds,mse_mean,mse_std,mse_se,paired_diff_mean,paired_diff_se,t_stat,p_value,cohen_d,relative_improvement_pct,ci95_diff_lower,ci95_diff_upper
ETTh2,336,query_conditioned,3,0.334793,0.001905,0.0011,0.007453,0.003891,1.9158,0.1955,1.1061,2.18,-0.009286,0.024193
ETTh2,720,fixed,3,0.41038,0.009152,0.005284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTh2,720,learned_global,3,0.410483,0.009046,0.005223,-0.000103,0.000107,-0.9673,0.4354,-0.5585,-0.03,-0.000563,0.000356
ETTh2,720,temporal_context,3,0.397583,0.004907,0.002833,0.012797,0.004444,2.8793,0.1024,1.6624,3.12,-0.006326,0.031919
ETTh2,720,query_conditioned,3,0.397567,0.004917,0.002839,0.012813,0.004441,2.8854,0.1021,1.6659,3.12,-0.006294,0.03192
ETTm1,24,fixed,3,0.6716,0.011217,0.006476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTm1,24,learned_global,3,0.66536,0.015131,0.008736,0.00624,0.00246,2.5366,0.1266,1.4645,0.93,-0.004345,0.016825
ETTm1,24,temporal_context,3,0.66341,0.007417,0.004282,0.00819,0.002761,2.9659,0.0974,1.7124,1.22,-0.003691,0.020071
ETTm1,24,query_conditioned,3,0.665593,0.029784,0.017196,0.006007,0.011952,0.5026,0.6651,0.2902,0.89,-0.045417,0.057431
ETTm1,48,fixed,3,0.71628,0.007176,0.004143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTm1,48,learned_global,3,0.717093,0.008548,0.004935,-0.000813,0.007981,-0.1019,0.9281,-0.0588,-0.11,-0.035151,0.033525
ETTm1,48,temporal_context,3,0.719627,0.016066,0.009276,-0.003347,0.013017,-0.2571,0.8211,-0.1484,-0.47,-0.059356,0.052663
ETTm1,48,query_conditioned,3,0.721883,0.015635,0.009027,-0.005603,0.013164,-0.4257,0.7118,-0.2458,-0.78,-0.062242,0.051035
ETTm1,96,fixed,3,0.881527,0.020903,0.012068,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTm1,96,learned_global,3,0.900753,0.013715,0.007918,-0.019227,0.018975,-1.0133,0.4176,-0.585,-2.18,-0.10087,0.062417
ETTm1,96,temporal_context,3,0.894173,0.018501,0.010682,-0.012647,0.022718,-0.5567,0.6337,-0.3214,-1.43,-0.110394,0.085101
ETTm1,96,query_conditioned,3,0.909227,0.039171,0.022615,-0.0277,0.029503,-0.9389,0.4469,-0.5421,-3.14,-0.15464,0.09924
ETTm1,192,fixed,3,0.92845,0.019409,0.011206,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTm1,192,learned_global,3,0.94875,0.016956,0.00979,-0.0203,0.020095,-1.0102,0.4187,-0.5832,-2.19,-0.106762,0.066162
ETTm1,192,temporal_context,3,0.942223,0.025131,0.01451,-0.013773,0.025642,-0.5371,0.6449,-0.3101,-1.48,-0.124101,0.096554
ETTm1,192,query_conditioned,3,0.962177,0.04906,0.028325,-0.033727,0.033171,-1.0167,0.4163,-0.587,-3.63,-0.17645,0.108997
ETTm1,336,fixed,3,0.962633,0.016658,0.009618,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTm1,336,learned_global,3,0.982753,0.018137,0.010471,-0.02012,0.019108,-1.053,0.4028,-0.6079,-2.09,-0.102335,0.062095
ETTm1,336,temporal_context,3,0.978153,0.035125,0.020279,-0.01552,0.029594,-0.5244,0.6523,-0.3028,-1.61,-0.142851,0.111811
ETTm1,336,query_conditioned,3,1.00571,0.060726,0.03506,-0.043077,0.037586,-1.1461,0.3704,-0.6617,-4.47,-0.204797,0.118643
ETTm1,720,fixed,3,1.030043,0.019621,0.011328,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ETTm1,720,learned_global,3,1.05115,0.017692,0.010215,-0.021107,0.019468,-1.0842,0.3916,-0.6259,-2.05,-0.104872,0.062658
ETTm1,720,temporal_context,3,1.04211,0.032766,0.018917,-0.012067,0.029642,-0.4071,0.7234,-0.235,-1.17,-0.139604,0.115471
ETTm1,720,query_conditioned,3,1.074113,0.061231,0.035352,-0.04407,0.037439,-1.1771,0.3603,-0.6796,-4.28,-0.205157,0.117017
exchange,24,fixed,3,0.10281,0.003034,0.001752,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
exchange,24,learned_global,3,0.10282,0.003049,0.00176,-1e-05,1.5e-05,-0.6547,0.5799,-0.378,-0.01,-7.6e-05,5.6e-05
exchange,24,temporal_context,3,0.102873,0.00232,0.001339,-6.3e-05,0.000824,-0.0769,0.9457,-0.0444,-0.06,-0.003608,0.003481
exchange,24,query_conditioned,3,0.102873,0.00232,0.001339,-6.3e-05,0.000824,-0.0769,0.9457,-0.0444,-0.06,-0.003608,0.003481
exchange,48,fixed,3,0.12738,0.003074,0.001775,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
exchange,48,learned_global,3,0.1274,0.003075,0.001776,-2e-05,6e-06,-3.4641,0.0742,-2.0,-0.02,-4.5e-05,5e-06
exchange,48,temporal_context,3,0.127333,0.002415,0.001394,4.7e-05,0.00068,0.0686,0.9515,0.0396,0.04,-0.00288,0.002973
exchange,48,query_conditioned,3,0.127333,0.002415,0.001394,4.7e-05,0.00068,0.0686,0.9515,0.0396,0.04,-0.00288,0.002973
exchange,96,fixed,3,0.178817,0.003421,0.001975,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
exchange,96,learned_global,3,0.17884,0.003418,0.001974,-2.3e-05,3e-06,-7.0,0.0198,-4.0415,-0.01,-3.8e-05,-9e-06
exchange,96,temporal_context,3,0.17874,0.002656,0.001533,7.7e-05,0.000715,0.1073,0.9244,0.0619,0.04,-0.002998,0.003152
exchange,96,query_conditioned,3,0.17874,0.002656,0.001533,7.7e-05,0.000715,0.1073,0.9244,0.0619,0.04,-0.002998,0.003152
exchange,192,fixed,3,0.29334,0.003397,0.001961,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
exchange,192,learned_global,3,0.293353,0.003395,0.00196,-1.3e-05,9e-06,-1.5119,0.2697,-0.8729,-0.0,-5.1e-05,2.5e-05
exchange,192,temporal_context,3,0.293053,0.002855,0.001648,0.000287,0.000948,0.3022,0.791,0.1745,0.1,-0.003794,0.004367
exchange,192,query_conditioned,3,0.293053,0.002855,0.001648,0.000287,0.000948,0.3022,0.791,0.1745,0.1,-0.003794,0.004367
exchange,336,fixed,3,0.486817,0.0043,0.002482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
exchange,336,learned_global,3,0.486833,0.00429,0.002477,-1.7e-05,1.2e-05,-1.3868,0.2999,-0.8006,-0.0,-6.8e-05,3.5e-05
exchange,336,temporal_context,3,0.486123,0.004884,0.00282,0.000693,0.001502,0.4617,0.6896,0.2666,0.14,-0.005767,0.007154
exchange,336,query_conditioned,3,0.48612,0.00488,0.002817,0.000697,0.001502,0.4637,0.6884,0.2677,0.14,-0.005768,0.007161
exchange,720,fixed,3,1.232027,0.00838,0.004838,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
exchange,720,learned_global,3,1.232083,0.008352,0.004822,-5.7e-05,1.8e-05,-3.2127,0.0848,-1.8549,-0.0,-0.000133,1.9e-05
exchange,720,temporal_context,3,1.230997,0.010756,0.00621,0.00103,0.003037,0.3391,0.7668,0.1958,0.08,-0.012039,0.014099
exchange,720,query_conditioned,3,1.230997,0.010756,0.00621,0.00103,0.003037,0.3391,0.7668,0.1958,0.08,-0.012039,0.014099
