dataset,variant,temperature_mode,initial_tau,final_tau,seed,eval_horizon,mse,mae,H_norm,N_eff,N_eff_ratio,max_attention,checksum_verified
ETTh1,tau2.0,fixed,2.0,2.0,44,720,1.08926,0.75765,0.98159,90.06,0.9382,0.02056,True
ETTh1,tau4.0,fixed,4.0,4.0,42,24,0.83038,0.62747,0.98971,92.68,0.9654,0.01669,True
ETTh1,tau4.0,fixed,4.0,4.0,42,48,0.84873,0.63991,0.99032,92.84,0.9671,0.01642,True
ETTh1,tau4.0,fixed,4.0,4.0,42,96,0.87283,0.6576,0.9907,92.92,0.9679,0.01628,True
ETTh1,tau4.0,fixed,4.0,4.0,42,192,0.91069,0.67768,0.99066,92.89,0.9676,0.01617,True
ETTh1,tau4.0,fixed,4.0,4.0,42,336,0.93421,0.69084,0.99072,92.89,0.9676,0.01613,True
ETTh1,tau4.0,fixed,4.0,4.0,42,720,1.06734,0.75622,0.99079,92.92,0.9679,0.01613,True
ETTh1,tau4.0,fixed,4.0,4.0,43,24,0.8298,0.63262,0.99303,93.58,0.9748,0.01503,True
ETTh1,tau4.0,fixed,4.0,4.0,43,48,0.84881,0.64461,0.99339,93.68,0.9758,0.0149,True
ETTh1,tau4.0,fixed,4.0,4.0,43,96,0.87329,0.66089,0.99366,93.74,0.9765,0.0148,True
ETTh1,tau4.0,fixed,4.0,4.0,43,192,0.91004,0.68079,0.99363,93.72,0.9763,0.0147,True
ETTh1,tau4.0,fixed,4.0,4.0,43,336,0.93105,0.69241,0.99379,93.76,0.9767,0.01462,True
ETTh1,tau4.0,fixed,4.0,4.0,43,720,1.06326,0.75636,0.99357,93.69,0.976,0.01474,True
ETTh1,tau4.0,fixed,4.0,4.0,44,24,0.81368,0.61747,0.98917,92.43,0.9628,0.01701,True
ETTh1,tau4.0,fixed,4.0,4.0,44,48,0.83869,0.63147,0.98972,92.56,0.9642,0.01679,True
ETTh1,tau4.0,fixed,4.0,4.0,44,96,0.87234,0.65222,0.98995,92.61,0.9646,0.01671,True
ETTh1,tau4.0,fixed,4.0,4.0,44,192,0.91185,0.67319,0.98997,92.59,0.9645,0.01655,True
ETTh1,tau4.0,fixed,4.0,4.0,44,336,0.93996,0.68795,0.99007,92.6,0.9646,0.01648,True
ETTh1,tau4.0,fixed,4.0,4.0,44,720,1.07621,0.7544,0.98991,92.54,0.964,0.01656,True
ETTh1,learnable,learnable,1.0,0.5665,42,24,0.83256,0.62922,0.95091,81.7,0.851,0.03393,True
ETTh1,learnable,learnable,1.0,0.5665,42,48,0.85073,0.64153,0.95275,82.09,0.8551,0.03322,True
ETTh1,learnable,learnable,1.0,0.5665,42,96,0.87421,0.65966,0.95391,82.27,0.857,0.03283,True
ETTh1,learnable,learnable,1.0,0.5665,42,192,0.91755,0.68086,0.95431,82.29,0.8572,0.03223,True
ETTh1,learnable,learnable,1.0,0.5665,42,336,0.94438,0.69539,0.95435,82.26,0.8568,0.03222,True
ETTh1,learnable,learnable,1.0,0.5665,42,720,1.08307,0.76243,0.95437,82.24,0.8567,0.03223,True
ETTh1,learnable,learnable,1.0,0.6416,43,24,0.82256,0.62765,0.96056,83.88,0.8737,0.02916,True
ETTh1,learnable,learnable,1.0,0.6416,43,48,0.84267,0.64027,0.96178,84.14,0.8765,0.02879,True
ETTh1,learnable,learnable,1.0,0.6416,43,96,0.86863,0.65691,0.96271,84.3,0.8781,0.02854,True
ETTh1,learnable,learnable,1.0,0.6416,43,192,0.91225,0.67852,0.96294,84.3,0.8781,0.02801,True
ETTh1,learnable,learnable,1.0,0.6416,43,336,0.93654,0.69171,0.9634,84.36,0.8787,0.0278,True
ETTh1,learnable,learnable,1.0,0.6416,43,720,1.07551,0.75878,0.96274,84.19,0.877,0.02813,True
ETTh1,learnable,learnable,1.0,0.5774,44,24,0.83379,0.62762,0.93418,77.97,0.8122,0.04184,True
ETTh1,learnable,learnable,1.0,0.5774,44,48,0.85771,0.64084,0.93579,78.28,0.8155,0.0413,True
ETTh1,learnable,learnable,1.0,0.5774,44,96,0.89124,0.66179,0.93614,78.31,0.8157,0.04144,True
ETTh1,learnable,learnable,1.0,0.5774,44,192,0.93757,0.68433,0.93679,78.36,0.8162,0.04069,True
ETTh1,learnable,learnable,1.0,0.5774,44,336,0.9612,0.69769,0.93685,78.31,0.8157,0.04064,True
ETTh1,learnable,learnable,1.0,0.5774,44,720,1.10064,0.76363,0.93623,78.17,0.8143,0.04095,True
exchange,tau0.5,fixed,0.5,0.5,42,24,0.11053,0.2372,0.64432,42.02,0.4377,0.27499,True
