H_norm,N_eff,N_eff_ratio,max_attention,attention_variance,kl_div_from_uniform,dataset,seed,tau,eval_horizon
0.9479057669639588,79.66279754638671,0.8298208077748616,0.03254441134631634,8.371927760890685e-05,0.23777621984481812,ETTh2,42,0.5,48
0.9798538565635682,89.02564239501953,0.9273504416147869,0.02076137624680996,2.845171075023245e-05,0.09195406064391136,ETTh2,42,1.0,48
0.9922271251678467,93.12865753173828,0.9700901826222739,0.015507150068879127,9.910665994539158e-06,0.03547814153134823,ETTh2,42,2.0,48
0.9966060638427734,94.70196380615235,0.9864787896474201,0.013209972530603409,4.08535338465299e-06,0.015491019189357757,ETTh2,42,4.0,48
0.9453448295593262,78.85889892578125,0.8214468638102215,0.03330879732966423,8.771150751272217e-05,0.24946530163288116,ETTh2,43,0.5,48
0.9790486335754395,88.66145324707031,0.9235568046569824,0.021102600917220115,2.9341582012420987e-05,0.09562944322824478,ETTh2,43,1.0,48
0.9924744248390198,93.14535827636719,0.9702641487121582,0.015497678332030774,9.37488689487509e-06,0.03434928618371487,ETTh2,43,2.0,48
0.997252595424652,94.9035888671875,0.9885790506998697,0.012978549860417844,3.1535599646304036e-06,0.012540257908403874,ETTh2,43,4.0,48
0.9271913290023803,75.19710083007813,0.7833031336466472,0.0415349118411541,0.00013487218457157723,0.33232423961162566,ETTh2,44,0.5,48
0.9681477189064026,85.87206573486328,0.8945006847381591,0.025602995604276656,5.1438975424389356e-05,0.14538493305444716,ETTh2,44,1.0,48
0.9867467641830444,91.39166564941407,0.9519965171813964,0.01790904775261879,1.8745148463494842e-05,0.060492506623268126,ETTh2,44,2.0,48
0.9945700287818908,93.96385345458984,0.9787901401519775,0.014254806376993657,6.806629698985489e-06,0.024784315004944803,ETTh2,44,4.0,48
0.9285631537437439,75.80339050292969,0.7896186510721842,0.03014491908252239,0.00011486376643006224,0.32606266885995866,ETTm1,42,0.5,48
0.9494280695915223,81.68285522460937,0.8508630752563476,0.02529851607978344,8.08481672720518e-05,0.23082788437604904,ETTm1,42,1.0,48
0.9606801271438599,84.80628662109375,0.8833988189697266,0.022333733178675173,6.175050148158335e-05,0.17946955934166908,ETTm1,42,2.0,48
0.9641009926795959,85.80623931884766,0.893814992904663,0.021267567574977875,5.5315518329734915e-05,0.1638556204736233,ETTm1,42,4.0,48
0.9018109083175659,70.47642059326172,0.7341293811798095,0.03800312988460064,0.00017485114512965082,0.448169207572937,ETTm1,43,0.5,48
0.9338545799255371,78.2415054321289,0.8150156815846762,0.029961853846907617,0.00011432419632910751,0.301910811662674,ETTm1,43,1.0,48
0.946917998790741,81.58941650390625,0.8498897552490234,0.026384945958852768,8.974413067335263e-05,0.2422848030924797,ETTm1,43,2.0,48
0.9596123456954956,84.65832061767578,0.8818575064341226,0.022659373469650745,6.406580387192662e-05,0.18434348478913307,ETTm1,43,4.0,48
0.893967080116272,68.67676696777343,0.71538298924764,0.04008125327527523,0.00018955229097628035,0.48397122919559477,ETTm1,44,0.5,48
0.9289010763168335,76.97715377807617,0.8018453518549601,0.03120570778846741,0.00012306372009334153,0.32452032119035723,ETTm1,44,1.0,48
0.9583207249641419,84.12259979248047,0.8762770811716715,0.022920501232147217,6.48405090032611e-05,0.19023866578936577,ETTm1,44,2.0,48
0.9749556660652161,88.39006652832032,0.9207298596700033,0.01819598525762558,3.558285288818297e-05,0.11431108228862286,ETTm1,44,4.0,48
